Epoch,Generator_Loss,Discriminator_Loss,Discriminator_Accuracy
1,0.8064083,1.0595864,0.722031
2,1.4427191,0.88924634,0.9242152
3,1.4366807,0.80369055,0.90664893
4,2.2672935,0.8550137,0.8762386
5,4.0884705,1.0519052,0.8095703
6,1.6511226,0.9123235,0.83614
7,1.461921,1.1018716,0.78967583
8,2.4688897,0.88396144,0.82785106
9,1.6026288,0.87323976,0.86299545
10,1.3317578,1.0074085,0.81269056
11,1.9797897,1.0359956,0.76312405
12,2.7150216,0.9808663,0.79867923
13,2.1879025,0.77616215,0.87144506
14,1.3970164,1.0258218,0.7790111
15,1.4312837,1.1059599,0.7536978
16,1.3546658,1.0361713,0.7890089
17,1.5384841,1.1076016,0.7571277
18,1.2379375,1.0352072,0.7965773
19,1.5435305,1.0859747,0.7361495
20,1.8743908,0.8800412,0.8368724
21,2.6724195,0.81888735,0.8559451
22,2.227823,0.7827096,0.8649783
23,1.1866511,1.0230246,0.81693023
24,2.355792,0.84209156,0.8571718
25,1.7584376,0.97980595,0.81563216
26,1.4233768,0.9481122,0.83450836
27,1.8402619,0.9248716,0.8461378
28,2.0911374,0.9378916,0.8274878
29,1.6079776,0.8344105,0.8758872
30,1.6514201,0.8435234,0.88209796
31,2.2620585,0.81070083,0.863442
32,1.9440349,0.9371188,0.8152034
33,1.4448706,0.9740056,0.8241592
34,1.463409,1.1062014,0.79352254
35,1.5664897,1.0458283,0.7788265
36,1.3585005,0.9895299,0.82008624
37,1.5888894,1.1269168,0.7707996
38,1.5062808,0.96690637,0.8324302
39,1.2697966,0.98234546,0.83174545
40,1.9010298,1.0542063,0.7879073
41,1.4680656,1.0453767,0.8203304
42,1.3887184,0.9349255,0.859238
43,1.5514299,0.97744113,0.82232517
44,1.412139,1.0403961,0.79089653
45,1.5816579,0.9340307,0.836658
46,1.3751404,0.9666676,0.84072506
47,1.5091931,0.9804721,0.80065024
48,1.3387789,1.0101281,0.8175853
49,1.4616928,1.0013796,0.80792683
50,1.2714251,1.1225888,0.76421374
51,1.4189714,1.0363054,0.79944146
52,1.4902582,1.0146719,0.81486994
53,1.2809091,1.0316089,0.8021746
