Epoch,Generator_Loss,Discriminator_Loss,Discriminator_Accuracy
163,8.544814,0.33195493,0.9449314
164,9.659126,0.43107226,0.9470989
165,4.1600547,0.38799885,0.9318252
166,3.709315,0.16292115,0.98461914
167,3.2614894,0.23585373,0.9699409
168,3.4944606,0.19734989,0.9748535
169,3.649895,0.3069675,0.9562988
170,4.5000434,0.12639563,0.9806831
171,5.421397,0.4329139,0.953125
172,7.63463,0.06947831,0.9890137
173,8.379079,0.2521013,0.96652293
174,4.078419,0.3877363,0.9406917
175,4.3785906,0.28383112,0.9612888
176,3.8902528,0.14773051,0.98291016
177,3.4202697,0.2896071,0.9521663
178,3.4867532,0.24459371,0.9638672
179,3.559872,0.3719308,0.95581055
180,4.7038927,0.114858285,0.98461914
181,4.1447635,0.109234385,0.9869236
182,3.7214766,0.17989314,0.9764255
183,3.8860168,0.10183981,0.9897461
184,3.9950993,0.13464056,0.98326147
185,4.5694294,0.2625842,0.95665014
186,4.917972,0.16918951,0.97688407
187,4.2543902,0.18305947,0.9753418
188,5.974115,0.11252828,0.98553616
189,9.2074375,0.40919706,0.9402927
190,6.944874,0.2125004,0.9700779
191,3.9532804,0.29094332,0.95201147
192,5.1111865,0.12942684,0.97981375
193,4.998354,0.11793447,0.982666
194,4.6928825,0.1311777,0.9850776
195,4.813626,0.19486561,0.97213817
196,4.8002057,0.10711893,0.9847263
197,4.070592,0.20280507,0.9700779
198,4.5009995,0.25003958,0.9612888
199,4.113224,0.22260939,0.96641576
200,4.078388,0.14218222,0.9819038
201,3.5966914,0.2815912,0.9578411
202,3.7859561,0.33404776,0.95043945
203,5.0391827,0.22494471,0.9615806
204,3.6910713,0.39290777,0.9247749
205,6.1574335,0.18785506,0.96972656
206,7.954245,0.41671997,0.9366306
207,7.4397106,0.7849627,0.9028022
208,8.733178,0.82790744,0.9025581
209,8.396156,0.15540802,0.9811416
210,6.289895,0.31958288,0.9479087
211,3.7138395,0.2376033,0.9589546
212,3.8764699,0.30286756,0.9493259
213,6.3807936,0.15996844,0.97216797
214,4.7263684,0.20045742,0.9688274
215,5.3392944,0.1283021,0.9814155
216,4.1999974,0.14939545,0.9800579
217,3.829529,0.12951767,0.9849407
218,4.014379,0.14602259,0.9789741
